0.10271023,4.65E-45
0.112509877,5.30E-45
0.134352413,7.58E-45
0.159396794,1.11E-44
0.189112754,1.67E-44
0.22255105,2.51E-44
0.264031268,3.52E-44
0.313818773,4.55E-44
0.377687639,5.80E-44
0.451696234,6.60E-44
0.540173676,6.60E-44
0.640689001,5.38E-44
0.729570901,3.66E-44
0.809111962,2.46E-44
0.867918871,1.72E-44
0.925777576,1.16E-44
0.990686401,7.95E-45
1.068160626,5.32E-45
1.142831512,3.59E-45
1.249554278,2.55E-45
1.384873116,1.78E-45
1.629162701,1.27E-45
1.948132111,1.08E-45
2.329738684,1.09E-45
2.786184079,1.18E-45
3.332097257,1.30E-45
3.984951619,1.42E-45
4.726999475,1.47E-45
5.983665808,1.31E-45
6.463599757,1.08E-45
6.912858592,7.12E-46
7.728076207,6.39E-47
7.283507465,4.42E-46
7.542776328,2.58E-46
7.587226112,1.36E-46
7.683445825,9.14E-47
7.91712857,3.61E-47
8.550078696,1.77E-47
9.079994439,1.04E-47
9.587439185,6.43E-48
10.19783027,4.11E-48
10.92121365,2.69E-48
11.65702543,1.88E-48
12.57170497,1.25E-48
13.6659139,8.62E-49
15.31106078,6.12E-49
18.01230712,4.57E-49
21.53912421,3.98E-49
25.75743384,3.75E-49
30.80287434,3.77E-49
36.8372348,3.94E-49
44.05388308,4.13E-49
52.68471329,4.41E-49
63.00724199,4.83E-49
75.35250819,5.32E-49
90.11695429,5.91E-49
107.7755135,6.72E-49
128.894893,7.71E-49
154.1534802,8.94E-49
184.361698,1.03E-48
220.4908882,1.21E-48
263.7009408,1.43E-48
315.3790686,1.68E-48
377.1842838,1.98E-48
451.1037943,2.36E-48
539.5086227,2.79E-48
645.2390011,3.31E-48
771.6903837,3.92E-48
922.9319873,4.75E-48
1103.795747,5.54E-48
1320.119229,6.64E-48
1578.850865,8.09E-48
1888.268026,9.60E-48
2258.31069,1.13E-47
2700.896711,1.35E-47
3230.241165,1.63E-47
3863.311702,1.96E-47
4620.390309,2.29E-47
5525.899093,2.74E-47
6608.903414,3.31E-47
7904.141813,3.99E-47
9225.245968,4.60E-47
9942.080585,5.03E-47
10548.64378,5.34E-47
